"ISSN","COLOUR","DOI","URL","FOUND"
"0003-3472","green","10.1016/j.anbehav.2014.04.028","http://europepmc.org/articles/PMC4087292","europepmc"
"0003-3472","green","10.1016/j.anbehav.2014.07.008","http://europepmc.org/articles/PMC4157325","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.04.020","http://europepmc.org/articles/PMC4523690","europepmc"
"0003-3472","green","10.1016/j.anbehav.2014.02.025","http://europepmc.org/articles/PMC4045381","europepmc"
"0003-3472","green","10.1016/j.anbehav.2014.02.023","http://europepmc.org/articles/PMC4045399","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.07.016","http://europepmc.org/articles/PMC4579410","europepmc"
"0378-4320","green","10.1016/j.anireprosci.2015.09.019","http://europepmc.org/articles/PMC4679792","europepmc"
"0196-0644","green","10.1016/j.annemergmed.2014.12.028","http://europepmc.org/articles/PMC4414542","europepmc"
"1047-2797","green","10.1016/j.annepidem.2014.03.004","http://europepmc.org/articles/PMC4211925","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.07.002","http://europepmc.org/articles/PMC4284444","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.003","http://europepmc.org/articles/PMC4284453","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.09.002","http://europepmc.org/articles/PMC4284441","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.07.020","http://europepmc.org/articles/PMC4537883","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.12.001","http://europepmc.org/articles/PMC4323760","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.11.003","http://europepmc.org/articles/PMC4323754","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.12.004","http://europepmc.org/articles/PMC4323753","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.01.004","http://europepmc.org/articles/PMC4348450","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.01.003","http://europepmc.org/articles/PMC4405003","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.01.002","http://europepmc.org/articles/PMC4348442","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.01.005","http://europepmc.org/articles/PMC4405004","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.12.002","http://europepmc.org/articles/PMC4323762","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.11.005","http://europepmc.org/articles/PMC4323748","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.12.003","http://europepmc.org/articles/PMC4323756","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.11.002","http://europepmc.org/articles/PMC4323742","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.10.001","http://europepmc.org/articles/PMC4323759","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.01.001","http://europepmc.org/articles/PMC4323757","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.07.005","http://europepmc.org/articles/PMC4372641","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.07.006","http://europepmc.org/articles/PMC4323747","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.02.001","http://europepmc.org/articles/PMC4355450","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.02.002","http://europepmc.org/articles/PMC4355451","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.04.003","http://europepmc.org/articles/PMC4284454","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.04.002","http://europepmc.org/articles/PMC4284455","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.002","http://europepmc.org/articles/PMC4284451","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.03.005","http://europepmc.org/articles/PMC4284448","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.004","http://europepmc.org/articles/PMC4284443","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.006","http://europepmc.org/articles/PMC4284449","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.014","http://europepmc.org/articles/PMC4284440","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.07.003","http://europepmc.org/articles/PMC4284439","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.06.005","http://europepmc.org/articles/PMC4284456","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.03.003","http://europepmc.org/articles/PMC4268482","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.04.001","http://europepmc.org/articles/PMC4268474","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.05.001","http://europepmc.org/articles/PMC4268481","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.02.018","http://europepmc.org/articles/PMC4268475","europepmc"
"2049-0801","green","10.1016/j.amsu.2014.03.004","http://europepmc.org/articles/PMC4268476","europepmc"
"2049-0801","green","10.1016/j.amsu.2013.11.002","http://europepmc.org/articles/PMC4268473","europepmc"
"2049-0801","green","10.1016/j.amsu.2013.12.001","http://europepmc.org/articles/PMC4268480","europepmc"
"2049-0801","green","10.1016/j.amsu.2013.11.001","http://europepmc.org/articles/PMC4268483","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.03.007","http://europepmc.org/articles/PMC4412911","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.04.004","http://europepmc.org/articles/PMC4434208","europepmc"
"2049-0801","green","10.1016/j.amsu.2015.04.005","http://europepmc.org/articles/PMC4434207","europepmc"
