"ISSN","COLOUR","DOI","AFFILIATIONS"
"1876-2859","green","10.1016/j.acap.2015.10.006",""
"1876-2859","green","10.1016/j.acap.2015.04.038",""
"1876-2859","green","10.1016/j.acap.2015.09.006",""
"1876-2859","green","10.1016/j.acap.2016.01.001",""
"1876-2859","green","10.1016/j.acap.2015.12.013",""
"1876-2859","green","10.1016/j.acap.2013.11.031",""
"1876-2859","green","10.1016/s1876-2859(14)00041-2",""
"1876-2859","green","10.1016/s1876-2859(14)00042-4",""
"1876-2859","green","10.1016/s1876-2859(14)00060-6",""
"1876-2859","green","10.1016/j.acap.2013.11.056",""
"1876-2859","green","10.1016/j.acap.2013.11.032",""
"1876-2859","green","10.1016/j.acap.2013.10.006",""
"1876-2859","green","10.1016/j.acap.2013.10.008",""
"1876-2859","green","10.1016/j.acap.2013.11.054",""
"1876-2859","green","10.1016/j.acap.2013.11.030",""
"1876-2859","green","10.1016/j.acap.2013.11.018",""
"1876-2859","green","10.1016/j.acap.2013.11.010",""
"1876-2859","green","10.1016/j.acap.2013.11.055",""
"1876-2859","green","10.1016/j.acap.2013.11.017",""
"1876-2859","green","10.1016/j.acap.2013.11.046",""
"1876-2859","green","10.1016/j.acap.2013.10.007",""
"1876-2859","green","10.1016/j.acap.2013.11.062",""
"1876-2859","green","10.1016/j.acap.2013.11.063",""
"1876-2859","green","10.1016/j.acap.2013.11.016",""
"1876-2859","green","10.1016/j.acap.2013.11.040",""
